Voltage (V),Current (A),Temperature (°C),Vibration (mm/s),Label
469.38,35.16,98.63,21.07,high
402.39,11.29,59.5,3.37,normal
466.48,0.73,93.34,25.91,high
337.49,0.39,92.19,25.99,high
287.27,1.16,94.18,25.54,high
344.84,26.83,58.94,12.82,moderate
389.23,10.57,37.08,2.81,normal
412.55,15.06,44.93,0.22,normal
370.15,12.24,69.67,0.96,low
390.43,15.89,42.06,2.88,normal
465.44,0.8,102.81,27.53,high
273.92,1.56,102.74,27.08,high
381.51,5.09,35.45,4.97,low
247.05,0.56,97.77,20.68,high
414.67,19.65,71.41,17.64,moderate
295.54,1.54,108.58,22.99,high
298.88,42.66,115.2,21.39,high
410.57,7.3,34.94,1.34,low
380.81,5.18,67.02,0.61,low
414.79,26.51,89.98,3.34,moderate
464.78,36.32,92.79,29.6,high
467.83,1.89,111.4,24.11,high
372.52,6.88,37.66,3.76,low
415.25,19.0,58.95,0.88,normal
382.49,17.01,66.95,0.65,low
414.67,7.14,62.56,0.79,low
349.38,26.1,76.3,2.38,moderate
402.6,10.8,69.81,2.7,low
414.98,15.36,47.49,3.83,normal
385.5,12.67,36.34,0.74,normal
398.96,6.96,66.53,3.33,low
397.59,10.08,42.6,7.08,low
359.44,26.84,33.84,0.48,moderate
308.59,39.63,107.47,28.1,high
479.93,36.38,117.7,27.67,high
342.1,15.34,73.84,19.46,moderate
355.33,27.36,83.76,1.44,moderate
389.74,31.11,71.79,0.34,moderate
375.94,8.63,58.52,1.47,low
345.74,14.82,49.51,12.78,moderate
468.46,43.96,116.16,24.18,high
353.36,17.42,76.34,18.62,moderate
250.09,0.25,110.07,24.71,high
284.75,35.98,105.17,26.21,high
406.39,15.03,54.06,1.31,normal
355.78,17.41,82.62,14.3,moderate
411.64,11.56,51.24,1.26,normal
245.0,46.27,109.84,22.62,high
378.08,12.9,54.81,3.29,low
399.81,16.34,46.56,0.23,normal
391.53,25.75,89.68,14.7,moderate
347.36,16.54,73.53,1.73,moderate
351.71,32.03,44.83,4.21,moderate
345.62,11.78,47.89,11.95,moderate
397.57,18.08,57.62,1.6,normal
387.02,16.36,44.05,0.69,normal
397.47,19.45,52.24,4.02,normal
402.47,18.55,33.12,0.4,normal
299.27,43.14,105.57,23.57,high
392.26,11.53,39.57,0.86,normal
206.35,1.62,111.49,27.58,high
385.31,34.32,81.99,4.65,moderate
390.47,17.67,39.24,1.1,normal
413.76,12.47,48.15,6.09,low
369.17,18.91,40.73,1.19,low
461.93,0.95,111.32,22.24,high
262.1,1.5,109.39,28.87,high
400.79,18.53,54.39,4.38,normal
353.5,15.73,74.22,3.68,moderate
358.28,30.77,57.37,16.16,moderate
388.99,10.97,66.53,2.35,low
388.41,13.25,44.2,3.25,normal
388.29,16.96,53.93,1.53,normal
407.48,10.93,86.26,11.21,moderate
342.8,17.77,35.32,16.87,moderate
336.22,48.3,103.7,20.72,high
462.79,1.32,117.49,21.23,high
353.81,18.89,74.03,2.16,moderate
356.64,13.82,76.39,15.28,moderate
463.31,38.12,97.43,21.95,high
400.6,15.33,55.52,2.84,normal
475.1,1.64,95.84,25.69,high
362.8,18.25,36.75,4.55,low
393.52,12.19,39.95,0.84,normal
349.42,33.62,39.57,16.09,moderate
353.96,19.46,76.63,4.76,moderate
393.89,26.47,72.27,0.16,moderate
409.88,16.7,50.48,0.07,normal
393.49,9.26,67.58,2.35,low
471.19,0.34,119.27,20.15,high
388.05,11.85,35.45,0.8,normal
393.65,15.21,66.78,2.35,low
382.71,10.09,49.93,2.1,normal
259.82,39.18,117.06,28.3,high
398.59,14.19,74.29,14.63,moderate
363.47,8.62,47.87,3.26,low
389.67,11.09,35.34,3.66,normal
386.98,17.56,54.3,9.51,low
476.47,40.54,111.85,28.6,high
397.37,25.27,79.78,15.81,moderate
214.79,39.88,117.24,25.32,high
403.01,16.87,58.11,0.5,normal
415.67,11.84,39.18,0.5,normal
381.2,16.45,43.03,2.41,normal
465.16,0.89,102.13,23.63,high
317.21,45.14,100.97,29.81,high
386.5,11.5,50.48,1.71,normal
406.52,14.82,54.87,2.71,normal
354.37,15.2,81.3,0.17,moderate
400.02,16.99,63.4,6.26,low
386.93,32.03,59.34,18.23,moderate
410.98,16.24,48.66,4.95,normal
371.19,12.23,57.07,2.67,low
386.1,9.61,60.8,3.53,low
348.63,32.18,74.37,3.87,moderate
402.26,19.48,30.18,2.25,normal
406.51,16.4,64.53,6.57,low
413.61,12.82,38.73,0.26,normal
359.28,31.25,76.95,1.37,moderate
396.91,33.22,73.31,15.4,moderate
383.89,17.48,42.48,4.74,normal
412.73,27.21,83.17,3.97,moderate
416.89,13.84,49.86,2.12,normal
417.18,31.29,82.35,13.83,moderate
418.67,18.53,65.28,5.16,low
223.25,1.45,108.48,26.67,high
359.23,12.78,74.22,3.17,moderate
360.8,14.3,62.75,2.71,low
377.76,14.08,55.08,3.52,low
368.58,16.96,35.41,6.69,low
384.32,15.54,30.58,2.24,normal
340.87,32.86,73.89,4.96,moderate
405.44,10.78,33.31,3.89,normal
383.14,13.29,51.27,1.2,normal
347.06,13.57,70.4,4.89,moderate
412.5,19.25,43.17,0.97,normal
416.69,8.04,63.72,3.02,low
417.47,19.04,50.11,1.73,normal
359.78,26.52,53.08,13.0,moderate
419.07,17.98,53.55,0.44,normal
402.58,16.24,47.58,2.82,normal
289.83,37.86,112.49,28.42,high
355.14,16.07,87.02,17.5,moderate
413.16,13.73,34.83,9.06,low
397.33,30.62,35.41,12.54,moderate
318.4,48.39,98.48,28.98,high
411.39,15.32,57.59,2.16,normal
235.34,0.66,108.01,22.35,high
399.65,10.06,82.14,17.66,moderate
413.77,17.97,45.09,4.59,normal
393.52,11.62,63.78,0.38,low
384.94,12.71,73.23,16.97,moderate
385.75,10.49,62.21,1.78,low
474.75,38.75,97.9,27.89,high
204.11,1.71,115.1,26.08,high
325.14,41.15,96.34,27.41,high
408.95,15.4,59.24,0.91,normal
402.74,10.96,33.41,3.81,normal
358.52,11.03,81.16,0.92,moderate
274.22,45.1,107.5,20.08,high
349.15,27.88,32.98,3.45,moderate
358.3,13.19,80.09,1.95,moderate
324.17,0.27,110.34,22.65,high
339.03,1.93,114.86,21.55,high
405.13,5.47,48.71,4.42,low
344.41,15.44,88.24,12.53,moderate
395.88,9.14,32.72,5.52,low
419.8,18.91,51.64,4.07,normal
340.42,17.5,36.78,18.92,moderate
351.7,25.12,47.88,17.22,moderate
355.58,17.26,74.49,18.91,moderate
352.5,26.63,50.0,18.84,moderate
472.93,1.9,112.46,24.23,high
460.76,0.82,95.17,28.45,high
475.59,0.07,99.2,23.54,high
406.81,15.04,37.41,4.0,normal
380.63,17.54,52.88,4.59,normal
405.56,14.96,47.9,2.06,normal
475.34,38.09,102.74,22.42,high
362.36,14.18,38.08,9.29,low
460.43,1.94,108.67,29.96,high
461.56,42.49,104.19,24.67,high
464.29,48.87,108.22,28.5,high
308.64,0.54,103.99,27.01,high
468.29,45.73,110.54,29.72,high
393.34,12.69,61.67,4.25,low
398.41,12.65,64.66,4.46,low
415.74,9.36,49.8,3.95,low
377.29,15.82,62.23,0.64,low
390.37,19.15,86.67,19.0,moderate
207.66,0.32,102.05,24.5,high
465.52,44.24,112.69,20.17,high
315.88,0.83,118.14,21.49,high
355.91,19.15,76.96,14.18,moderate
352.72,28.17,36.04,3.1,moderate
392.24,12.43,32.65,4.51,normal
405.8,13.03,64.57,4.58,low
413.84,12.85,57.49,2.92,normal
470.06,0.79,107.69,28.82,high
394.78,7.15,57.53,3.45,low
408.48,17.41,61.32,3.78,low
412.68,32.98,86.11,18.2,moderate
373.94,5.6,54.29,4.72,low
410.33,19.3,30.83,3.05,normal
358.89,16.44,45.87,15.11,moderate
346.79,28.13,78.55,1.13,moderate
253.42,42.34,102.0,27.18,high
384.28,17.17,64.89,7.84,low
461.42,37.01,113.71,25.3,high
296.32,1.21,114.89,25.58,high
232.6,1.47,114.78,28.97,high
405.6,9.48,30.56,8.3,low
325.8,45.78,104.45,20.52,high
354.13,18.67,40.92,16.96,moderate
385.43,14.04,48.78,2.41,normal
471.74,44.38,104.61,25.27,high
366.94,17.16,65.82,3.52,low
399.41,8.4,49.65,8.17,low
381.83,28.7,86.62,4.33,moderate
412.43,15.85,84.39,11.6,moderate
467.69,1.55,106.53,29.11,high
381.77,31.42,47.96,17.65,moderate
413.84,7.67,60.79,3.74,low
406.16,17.99,40.07,4.16,normal
373.77,14.53,68.84,0.28,low
404.81,19.34,67.08,5.5,low
395.47,19.78,34.02,5.51,low
242.17,45.16,106.61,27.55,high
419.55,19.01,33.42,1.44,normal
392.87,7.67,30.86,8.58,low
470.03,1.51,114.48,20.1,high
395.95,14.73,38.7,2.63,normal
394.3,14.34,77.33,18.96,moderate
474.49,44.75,92.15,22.3,high
350.56,27.84,36.61,13.13,moderate
404.82,15.29,69.22,9.51,low
395.23,17.99,34.78,0.7,normal
385.89,17.96,83.06,15.07,moderate
287.79,45.18,109.02,22.39,high
359.16,29.46,72.63,4.36,moderate
386.43,13.24,68.4,5.12,low
476.81,47.53,119.68,26.34,high
318.88,46.29,94.36,25.14,high
467.25,43.84,96.88,24.32,high
399.92,10.83,40.46,1.76,normal
408.11,9.4,66.68,3.55,low
391.62,8.07,33.5,3.05,low
402.96,13.84,78.63,14.55,moderate
368.64,12.5,50.89,0.88,low
382.13,6.99,65.97,0.88,low
369.23,19.53,62.19,4.17,low
386.58,15.62,36.46,2.87,normal
408.46,6.34,46.38,0.51,low
360.72,14.48,44.97,0.84,low
395.01,17.05,30.04,6.96,low
367.67,15.24,35.95,8.55,low
405.6,12.65,70.95,17.8,moderate
388.34,15.48,35.45,4.31,normal
209.88,40.1,99.37,24.65,high
470.17,42.48,90.19,21.88,high
352.16,10.06,80.47,13.85,moderate
304.05,43.83,117.34,22.79,high
408.28,11.31,65.01,4.21,low
389.56,13.27,34.71,0.56,normal
405.6,12.4,37.32,0.09,normal
395.77,29.34,37.15,19.36,moderate
402.35,12.21,50.26,0.76,normal
381.06,17.95,34.38,3.33,normal
357.82,27.47,38.41,19.35,moderate
466.01,41.84,96.37,20.29,high
405.64,14.11,39.09,2.04,normal
414.53,15.22,40.42,3.24,normal
388.84,10.1,51.2,2.28,normal
342.39,26.57,82.03,2.93,moderate
324.3,0.36,98.7,22.31,high
462.5,1.64,112.79,21.36,high
409.73,9.17,49.84,4.84,low
340.02,26.9,83.56,4.37,moderate
366.22,15.64,34.8,8.33,low
385.95,10.99,54.82,0.98,normal
473.17,37.32,91.65,25.93,high
388.65,14.36,36.35,1.49,normal
394.41,10.41,31.01,2.88,normal
349.28,30.4,84.39,0.09,moderate
392.23,16.54,30.85,1.46,normal
399.09,31.15,70.71,14.33,moderate
407.71,7.06,39.72,4.22,low
415.81,10.39,64.58,1.73,low
389.71,8.14,30.48,8.1,low
370.54,10.47,66.15,1.87,low
319.78,46.24,112.62,24.63,high
218.15,1.44,99.15,21.67,high
471.72,37.43,100.76,25.06,high
417.51,34.22,31.23,13.72,moderate
396.23,11.12,43.74,3.95,normal
369.18,10.48,50.0,5.64,low
365.88,10.77,55.69,3.18,low
461.84,49.44,99.18,20.41,high
378.32,12.14,59.34,2.83,low
412.36,10.45,61.93,5.05,low
351.47,34.09,71.58,3.67,moderate
460.08,49.98,96.18,21.92,high
387.94,8.45,52.78,2.03,low
470.9,49.34,113.47,25.19,high
388.36,34.75,72.03,13.47,moderate
215.55,1.93,106.28,27.95,high
392.82,19.76,32.62,1.66,normal
387.98,13.4,42.36,4.66,normal
390.66,15.02,61.57,1.65,low
399.54,17.23,59.65,1.47,normal
399.48,32.42,85.95,13.74,moderate
392.99,17.55,81.4,10.19,moderate
292.04,0.21,116.01,27.81,high
355.27,17.21,77.54,3.09,moderate
217.58,0.47,98.7,24.55,high
412.71,19.01,86.55,13.5,moderate
351.58,32.49,75.61,0.0,moderate
389.94,27.85,86.61,2.27,moderate
407.03,12.32,30.01,2.15,normal
468.84,46.02,98.8,24.67,high
411.31,9.17,30.8,8.0,low
471.97,41.54,109.01,26.14,high
252.01,0.47,96.02,28.55,high
397.1,28.86,52.47,12.5,moderate
368.16,8.68,36.77,1.45,low
473.01,42.06,101.13,25.1,high
352.88,25.39,33.52,14.44,moderate
343.61,29.86,38.08,1.72,moderate
414.78,16.05,30.24,0.65,normal
374.81,15.45,46.05,2.29,low
390.93,9.33,60.98,0.84,low
413.82,18.71,66.99,7.3,low
396.16,15.07,59.53,2.75,normal
418.27,29.21,84.28,12.8,moderate
414.87,10.34,47.73,4.31,normal
335.21,1.4,116.96,23.13,high
411.39,12.64,33.13,0.39,normal
341.69,31.07,58.78,16.81,moderate
406.59,10.46,56.38,2.12,normal
389.56,15.84,36.47,4.1,normal
382.38,7.29,63.21,2.29,low
220.92,1.22,98.51,27.13,high
413.67,11.49,56.87,0.77,normal
350.81,16.14,80.04,14.48,moderate
306.03,1.33,106.3,21.83,high
362.05,15.26,63.13,2.95,low
412.17,32.15,86.66,13.55,moderate
467.84,0.35,94.29,21.11,high
418.46,15.41,65.54,0.96,low
412.36,33.1,79.72,0.21,moderate
403.51,6.2,56.87,3.98,low
400.92,10.64,31.23,1.2,normal
260.85,0.91,90.37,24.9,high
398.81,7.47,63.47,0.41,low
374.11,13.49,38.07,2.88,low
402.99,14.29,58.74,4.34,normal
341.03,26.91,82.16,1.09,moderate
397.84,16.64,39.11,3.35,normal
479.79,1.68,90.28,20.91,high
342.09,33.68,49.87,1.43,moderate
366.19,10.44,33.29,9.88,low
398.94,18.25,68.09,0.87,low
411.12,13.58,55.71,3.55,normal
406.14,17.57,69.18,5.96,low
477.16,0.37,92.7,28.95,high
375.63,18.69,51.74,6.55,low
477.34,0.42,98.38,25.34,high
347.11,30.91,72.61,2.99,moderate
364.01,13.13,46.6,7.85,low
394.77,32.57,85.26,17.59,moderate
382.39,11.98,39.39,0.96,normal
395.96,15.18,49.24,8.35,low
418.67,34.47,50.53,15.54,moderate
366.17,18.72,47.27,4.62,low
260.93,0.5,117.27,28.44,high
410.67,14.12,32.66,0.46,normal
405.77,10.22,30.42,4.15,normal
462.37,38.35,101.76,25.59,high
411.5,18.5,77.99,10.8,moderate
382.53,30.23,40.12,12.45,moderate
241.13,39.36,101.35,24.47,high
349.25,33.57,42.91,10.52,moderate
380.42,11.4,54.49,3.63,normal
417.93,12.58,43.04,2.9,normal
414.55,12.08,41.5,3.74,normal
356.29,19.59,86.32,15.95,moderate
471.77,46.28,91.81,27.53,high
407.08,6.01,57.28,3.83,low
467.32,0.11,100.57,22.91,high
372.08,15.91,45.16,3.93,low
415.5,16.48,42.42,2.23,normal
419.09,34.71,73.82,2.53,moderate
351.85,31.63,83.62,3.79,moderate
475.56,45.41,97.68,20.55,high
460.2,1.17,103.53,29.19,high
392.7,14.21,31.0,0.64,normal
418.09,12.86,61.32,4.31,low
393.7,13.11,47.07,4.39,normal
387.98,12.15,50.04,2.82,normal
460.72,49.89,93.63,24.91,high
352.36,34.62,53.45,16.11,moderate
316.05,45.02,103.15,28.21,high
258.08,39.27,98.46,21.14,high
398.42,16.51,63.57,5.89,low
406.81,16.81,63.51,2.1,low
396.92,19.95,55.66,4.0,normal
463.23,1.17,94.13,22.45,high
378.0,8.95,48.17,2.17,low
304.64,0.23,98.06,22.87,high
389.95,18.19,84.09,10.18,moderate
345.22,11.99,89.97,16.87,moderate
388.03,14.3,33.86,2.33,normal
419.96,18.97,41.84,4.79,normal
387.69,14.53,41.61,0.79,normal
479.97,0.46,106.65,26.49,high
402.8,12.36,54.68,2.4,normal
386.87,33.68,87.8,15.86,moderate
386.97,12.92,38.67,9.76,low
307.64,42.36,118.58,22.53,high
475.76,44.63,115.1,25.11,high
289.79,0.52,115.38,27.02,high
382.22,9.46,68.03,3.36,low
369.74,11.02,40.17,1.08,low
205.61,0.45,106.01,26.62,high
414.25,13.72,62.74,4.47,low
381.4,16.93,41.82,4.76,normal
393.69,6.29,57.89,4.41,low
401.44,8.75,32.38,4.18,low
388.55,10.1,51.25,2.04,normal
376.59,18.23,53.36,9.87,low
299.99,0.64,98.63,28.53,high
343.21,27.08,88.48,1.91,moderate
464.96,43.82,100.76,28.5,high
357.23,18.12,82.08,17.06,moderate
410.84,11.5,31.11,1.19,normal
348.84,26.86,40.8,11.09,moderate
469.54,35.51,99.11,27.97,high
384.79,31.56,75.0,14.92,moderate
372.58,9.41,30.66,2.71,low
479.89,40.35,97.25,23.65,high
467.72,1.0,90.77,22.01,high
349.94,13.38,74.09,10.11,moderate
393.49,18.24,60.66,7.49,low
464.15,41.6,106.88,24.54,high
402.79,8.22,48.15,2.58,low
299.53,37.35,98.95,25.99,high
345.21,18.93,49.28,13.14,moderate
478.38,1.06,91.35,27.75,high
337.8,0.58,102.41,25.45,high
358.0,19.82,87.96,16.65,moderate
473.0,1.24,101.45,21.84,high
472.82,1.29,118.33,26.08,high
371.9,11.24,53.43,3.89,low
395.22,29.81,32.09,11.55,moderate
412.41,28.61,76.19,0.29,moderate
386.88,15.36,52.22,2.69,normal
402.33,18.26,37.95,2.62,normal
305.59,0.0,101.49,22.28,high
411.67,7.94,34.38,4.2,low
477.61,1.09,90.69,23.99,high
411.26,16.89,50.66,2.87,normal
355.14,11.45,85.34,0.24,moderate
218.96,1.29,117.03,20.83,high
348.55,34.64,34.12,19.54,moderate
379.58,17.78,62.71,2.7,low
476.03,1.64,109.26,22.05,high
388.49,10.18,47.77,2.76,normal
407.1,14.57,43.72,2.55,normal
415.06,8.11,49.79,0.54,low
398.6,15.24,68.8,0.72,low
398.17,16.25,38.59,4.05,normal
407.03,18.98,51.61,3.11,normal
350.79,18.25,83.89,2.65,moderate
406.69,14.55,40.56,2.47,normal
398.55,28.77,75.89,1.08,moderate
472.83,0.7,91.56,27.25,high
462.93,1.89,116.15,23.92,high
389.14,15.9,41.02,0.88,normal
383.69,18.5,64.63,2.42,low
321.36,1.62,90.94,29.03,high
348.5,14.87,88.27,4.56,moderate
353.97,18.17,86.88,19.52,moderate
398.58,13.69,44.55,2.48,normal
467.51,40.39,92.81,20.21,high
469.59,46.14,119.51,22.63,high
404.11,19.45,57.3,3.74,normal
416.93,12.7,57.45,0.47,normal
375.5,15.38,65.59,4.79,low
399.02,12.55,69.59,3.43,low
376.43,10.61,43.38,5.4,low
345.89,32.5,84.07,2.37,moderate
461.39,0.7,110.9,23.23,high
479.48,47.43,96.83,21.9,high
474.18,1.9,109.11,27.73,high
300.38,35.21,105.78,20.12,high
365.53,12.15,45.18,0.8,low
398.46,11.45,45.1,7.15,low
345.89,18.44,79.23,0.85,moderate
469.5,37.08,114.52,26.25,high
343.03,25.43,35.22,14.03,moderate
349.85,30.48,85.31,4.67,moderate
470.61,44.42,91.02,20.67,high
353.61,12.88,43.73,15.4,moderate
374.5,19.56,44.83,2.78,low
244.99,0.17,111.94,29.32,high
348.9,32.47,44.85,16.29,moderate
368.08,17.1,46.82,4.9,low
359.54,34.29,83.67,3.57,moderate
414.87,8.75,40.68,1.16,low
475.38,45.95,91.67,26.46,high
477.2,40.02,95.59,21.99,high
461.83,48.87,111.88,20.95,high
305.86,44.89,116.08,25.92,high
245.57,1.86,104.32,26.36,high
240.14,1.6,90.01,22.05,high
474.14,46.29,91.75,23.76,high
365.63,18.01,30.95,4.49,low
393.37,18.25,50.11,2.41,normal
379.48,7.32,50.11,1.6,low
414.1,13.68,50.98,2.12,normal
249.61,40.61,99.07,21.76,high
328.49,35.82,114.27,25.62,high
417.65,15.03,38.16,0.01,normal
346.34,27.35,81.82,1.23,moderate
417.45,5.15,61.04,3.0,low
399.84,12.48,40.43,0.81,normal
383.95,11.21,50.8,4.31,normal
201.7,43.27,91.35,28.92,high
406.55,10.26,49.61,10.0,low
395.36,14.91,86.19,16.7,moderate
365.5,15.76,63.56,4.13,low
370.93,18.98,54.96,4.14,low
404.68,18.5,36.16,3.62,normal
355.59,30.77,42.17,11.94,moderate
401.59,12.12,46.76,4.02,normal
387.27,12.38,50.84,1.4,normal
341.36,30.94,53.61,13.14,moderate
384.61,30.27,79.2,18.09,moderate
369.64,5.78,43.97,4.5,low
397.13,25.64,85.38,14.08,moderate
413.8,34.87,83.79,12.23,moderate
345.73,17.05,50.59,13.02,moderate
240.36,0.64,118.54,28.82,high
414.05,11.51,52.99,3.37,normal
348.35,11.59,87.94,15.15,moderate
418.95,15.52,54.04,4.63,normal
386.14,18.27,34.43,2.59,normal
469.9,0.1,115.96,28.73,high
391.39,13.37,66.28,6.51,low
414.61,9.48,62.49,3.07,low
462.14,48.82,119.78,20.87,high
413.66,18.09,38.62,4.89,normal
399.8,15.97,70.13,13.51,moderate
411.7,16.76,30.3,1.39,normal
405.61,11.79,79.18,15.16,moderate
255.64,0.74,118.09,23.29,high
394.46,5.48,64.9,2.71,low
360.56,14.29,64.48,2.99,low
390.96,9.77,35.27,4.52,low
349.56,12.03,85.22,15.03,moderate
368.42,14.38,51.36,1.89,low
383.17,11.39,37.0,0.14,normal
374.44,14.79,39.95,2.05,low
277.75,49.71,117.13,28.22,high
407.65,9.37,43.56,0.94,low
407.54,14.56,45.33,4.3,normal
470.99,40.59,101.26,28.0,high
235.52,0.82,114.56,26.62,high
381.2,13.38,41.58,1.9,normal
249.83,47.72,95.39,27.53,high
385.45,14.56,55.22,2.53,normal
384.63,25.89,77.79,10.77,moderate
248.94,46.44,99.45,29.13,high
331.26,0.03,100.0,23.27,high
383.47,15.27,31.82,2.32,normal
461.99,1.23,102.31,27.64,high
357.8,29.76,35.23,11.12,moderate
465.94,45.09,107.01,27.74,high
390.43,18.23,59.72,1.83,normal
363.67,18.48,58.97,3.1,low
385.49,34.16,81.75,3.31,moderate
473.13,35.37,113.56,23.7,high
366.87,15.68,47.12,4.44,low
396.93,10.83,31.67,1.31,normal
240.49,36.98,95.47,21.76,high
374.49,17.66,58.98,1.97,low
235.74,1.0,96.54,27.33,high
377.43,17.34,52.7,4.38,low
413.58,19.92,41.56,2.57,normal
412.08,16.95,45.15,2.87,normal
413.22,28.63,77.31,11.49,moderate
387.8,11.07,45.92,9.67,low
359.57,29.66,32.9,19.35,moderate
385.37,18.83,87.6,15.15,moderate
347.55,30.91,32.5,12.64,moderate
376.34,11.7,46.97,4.61,low
380.91,9.35,36.43,0.37,low
390.46,12.4,53.66,0.16,normal
419.29,16.7,64.44,0.28,low
464.19,48.51,103.64,22.8,high
395.74,26.47,79.77,12.71,moderate
292.15,38.66,109.53,28.63,high
414.13,10.58,55.57,3.14,normal
384.13,6.17,32.9,8.36,low
380.29,11.03,50.02,3.65,normal
474.4,45.28,114.7,26.94,high
415.43,19.32,43.49,0.96,normal
412.02,10.23,64.2,8.2,low
393.25,12.93,52.25,4.18,normal
351.39,16.84,82.11,16.56,moderate
375.53,17.06,46.58,2.37,low
311.77,48.94,104.14,21.33,high
416.02,27.8,88.95,11.39,moderate
352.53,13.08,81.42,1.49,moderate
383.39,16.07,70.85,12.23,moderate
388.03,19.98,49.33,0.87,normal
392.51,19.83,44.34,1.87,normal
461.74,45.47,107.43,28.5,high
384.87,11.64,46.22,3.51,normal
204.25,36.52,111.88,26.09,high
396.62,14.19,58.9,3.74,normal
387.0,18.73,42.84,0.08,normal
399.06,12.71,57.27,2.3,normal
409.96,12.75,36.85,1.75,normal
370.95,16.41,65.96,1.62,low
233.58,1.49,91.26,26.83,high
475.83,38.58,108.78,21.44,high
354.66,29.11,81.66,0.35,moderate
226.23,1.66,101.23,24.18,high
399.29,15.82,44.45,1.63,normal
400.5,33.97,81.61,4.08,moderate
413.59,28.49,37.46,12.38,moderate
396.27,14.93,33.33,2.79,normal
370.68,10.03,30.82,0.23,low
469.42,1.69,117.61,22.91,high
474.42,0.66,118.5,26.61,high
350.2,27.93,59.96,11.09,moderate
356.88,16.5,73.99,18.4,moderate
464.27,1.76,103.1,28.6,high
333.46,1.32,97.01,24.42,high
202.47,0.99,112.85,21.17,high
413.97,16.75,40.2,5.0,normal
391.3,13.52,62.67,5.11,low
365.05,10.26,69.62,0.54,low
236.48,1.71,119.57,25.02,high
415.78,15.82,65.64,9.92,low
395.09,17.33,34.08,0.36,normal
408.44,16.05,36.35,2.15,normal
352.15,18.76,73.81,1.86,moderate
200.62,38.73,100.37,20.66,high
413.44,5.06,42.43,8.01,low
465.55,41.02,101.19,22.44,high
415.9,9.79,67.11,0.45,low
398.27,30.64,31.08,11.31,moderate
471.78,40.44,101.0,29.33,high
384.66,12.28,51.91,2.7,normal
232.91,0.56,106.3,22.46,high
268.38,43.7,109.55,27.1,high
419.87,14.21,30.43,4.72,normal
462.36,42.19,96.17,25.09,high
381.54,16.72,58.38,4.16,normal
321.35,35.88,115.24,25.08,high
471.45,0.83,116.62,28.13,high
462.6,1.07,110.18,27.14,high
319.22,1.92,90.4,28.94,high
388.43,16.83,50.35,0.34,normal
281.84,47.22,92.07,22.02,high
414.65,19.65,49.93,2.94,normal
418.18,11.46,51.85,3.31,normal
357.49,17.28,75.35,2.87,moderate
